Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,ADANIENT,EQ,486.3,485.4,492.55,480.6,491.1,490.0,487.08,604947,29466052020000.0,8489,185199,0.3061
2015-01-02,ADANIENT,EQ,490.0,491.3,497.0,490.0,493.0,492.4,493.32,1006286,49641765365000.0,13452,272259,0.2706
2015-01-05,ADANIENT,EQ,492.4,491.1,506.55,490.7,502.55,500.55,500.41,1441527,72136059610000.0,24131,375676,0.2606
2015-01-06,ADANIENT,EQ,500.55,495.6,517.9,484.2,496.5,496.75,503.2,2822168,142010474685000.0,47026,610712,0.2164
2015-01-07,ADANIENT,EQ,496.75,500.0,507.55,482.0,493.0,492.35,494.68,1665081,82368164795000.0,28324,265193,0.1593
2015-01-08,ADANIENT,EQ,492.35,499.3,514.0,498.8,511.9,511.75,507.44,1217449,61778635865000.0,19547,240619,0.19760000000000003
2015-01-09,ADANIENT,EQ,511.75,516.0,520.75,498.0,507.15,506.65,507.25,1852057,93944800765000.0,25652,661469,0.3572
2015-01-12,ADANIENT,EQ,506.65,510.65,522.4,510.0,514.65,514.55,517.19,1885648,97524441325000.0,30473,310783,0.1648
2015-01-13,ADANIENT,EQ,514.55,517.95,518.8,494.95,497.0,496.7,503.93,1181967,59562814815000.0,22144,414796,0.35090000000000005
2015-01-14,ADANIENT,EQ,496.7,498.5,498.7,486.0,493.0,491.35,492.47,933231,45958434450000.0,19097,123086,0.1319
2015-01-15,ADANIENT,EQ,491.35,500.0,504.85,486.0,498.5,500.9,498.0,1301413,64810926304999.99,17739,389921,0.29960000000000003
2015-01-16,ADANIENT,EQ,500.9,498.5,506.5,492.4,499.0,500.3,500.95,1153856,57802589945000.01,20630,184332,0.1598
2015-01-19,ADANIENT,EQ,500.3,502.0,512.0,500.15,506.5,506.3,506.42,1218109,61687416115000.0,14865,406462,0.3337
2015-01-20,ADANIENT,EQ,506.3,508.7,510.0,502.65,506.3,506.5,505.97,1010208,51113244025000.0,13743,433626,0.4292
2015-01-21,ADANIENT,EQ,506.5,507.0,508.9,499.75,508.0,506.15,503.52,983547,49523588310000.0,13138,374684,0.381
2015-01-22,ADANIENT,EQ,506.15,507.0,522.0,506.5,519.5,518.6,513.95,1246821,64079847520000.01,20910,275767,0.2212
2015-01-23,ADANIENT,EQ,518.6,525.0,574.4,524.3,561.3,563.85,553.02,6971858,385561108730000.0,108462,765863,0.1099
2015-01-27,ADANIENT,EQ,563.85,563.95,572.7,554.3,559.05,561.3,562.76,1856900,104499784905000.0,29794,344266,0.18539999999999998
2015-01-28,ADANIENT,EQ,561.3,554.0,580.35,551.0,558.9,557.2,564.36,2131036,120267321920000.0,38877,439360,0.20620000000000002
2015-01-29,ADANIENT,EQ,557.2,558.0,595.75,557.2,587.7,583.4,579.95,5797584,336231207735000.0,83874,1662716,0.2868
2015-01-30,ADANIENT,EQ,583.4,593.4,646.0,564.1,641.0,627.3,608.54,10006572,608938168070000.0,158938,1500963,0.15
